,Species Key,Taxon Key,GBIF Species Name,Source
1285,10365884,10365884,Epiblema obfuscana,Quebec_Pohl2018
1286,10539598,10539598,Epiblema desertana,Quebec_Pohl2018
1287,9958147,9958147,Epiblema carolinana,Quebec_Pohl2018
1288,NA,NA,NA,Quebec_Pohl2018
1289,NA,NA,NA,Quebec_Pohl2018
1290,NA,NA,NA,Quebec_Pohl2018
1291,5104116,5104116,Epiblema otiosana,Quebec_Pohl2018
1292,10388627,10388627,Epiblema brightonana,Quebec_Pohl2018
1293,NA,NA,NA,Quebec_Pohl2018
1294,9900581,9900581,Epiblema resumptana,Quebec_Pohl2018
1295,1741368,1741368,Notocelia rosaecolana,Quebec_Pohl2018
1296,1741342,1741342,Notocelia illotana,Quebec_Pohl2018
1297,1741361,1741361,Notocelia culminana,Quebec_Pohl2018
1298,1747020,1747020,Suleima lagopana,Quebec_Pohl2018
1299,1747025,1747025,Suleima cinerodorsana,Quebec_Pohl2018
1300,1743658,1743658,Sonia constrictana,Quebec_Pohl2018
1301,1743663,1743663,Sonia canadana,Quebec_Pohl2018
1302,1743662,1743662,Sonia vovana,Quebec_Pohl2018
1303,1736915,1736915,Gypsonoma fasciolana,Quebec_Pohl2018
1304,1736938,1736938,Gypsonoma parryana,Quebec_Pohl2018
1305,1736937,1736937,Gypsonoma haimbachiana,Quebec_Pohl2018
1306,1736939,1736939,Gypsonoma substitutionis,Quebec_Pohl2018
1307,10638589,10638589,Gypsonoma salicicolana,Quebec_Pohl2018
1308,1736918,1736918,Gypsonoma adjuncta,Quebec_Pohl2018
1309,1748149,1748149,Proteoteras aesculana,Quebec_Pohl2018
1310,1748147,1748147,Proteoteras willingana,Quebec_Pohl2018
1311,1748152,1748152,Proteoteras crescentana,Quebec_Pohl2018
1312,1748148,1748148,Proteoteras naracana,Quebec_Pohl2018
1313,1748151,1748151,Proteoteras moffatiana,Quebec_Pohl2018
1314,1748150,1748150,Proteoteras obnigrana,Quebec_Pohl2018
1315,1743694,1743694,Zeiraphera canadensis,Quebec_Pohl2018
1316,NA,NA,NA,Quebec_Pohl2018
1317,10033723,10033723,Zeiraphera fortunana,Quebec_Pohl2018
1318,NA,NA,NA,Quebec_Pohl2018
1319,1736822,1736822,Pseudexentera cressoniana,Quebec_Pohl2018
1320,1736824,1736824,Pseudexentera faracana,Quebec_Pohl2018
1321,1736823,1736823,Pseudexentera sepia,Quebec_Pohl2018
1322,1736826,1736826,Pseudexentera haracana,Quebec_Pohl2018
1323,1736807,1736807,Pseudexentera spoliana,Quebec_Pohl2018
1324,1736829,1736829,Pseudexentera mali,Quebec_Pohl2018
1325,1736821,1736821,Pseudexentera oregonana,Quebec_Pohl2018
1326,1736819,1736819,Pseudexentera kalmiana,Quebec_Pohl2018
1327,1736820,1736820,Pseudexentera maracana,Quebec_Pohl2018
1328,1736825,1736825,Pseudexentera vaccinii,Quebec_Pohl2018
1329,1736803,1736803,Pseudexentera costomaculana,Quebec_Pohl2018
1330,10355428,10355428,Pseudexentera virginiana,Quebec_Pohl2018
1331,1736765,1736765,Gretchena deludana,Quebec_Pohl2018
1332,1736767,9851589,Gretchena concubitana,Quebec_Pohl2018
1333,1736770,1736770,Gretchena watchungana,Quebec_Pohl2018
1334,1736759,1736759,Gretchena amatana,Quebec_Pohl2018
1335,1736761,1736761,Gretchena delicatana,Quebec_Pohl2018
1336,1736763,1736763,Gretchena semialba,Quebec_Pohl2018
