speciesKey,species,genus,family
5126888,Scoparia exterminata,Scoparia,Crambidae
6133372,Anarsia aspera,Anarsia,Gelechiidae
1826935,Salluca durani,Salluca,Notodontidae
1859467,Hellinsia linus,Hellinsia,Pterophoridae
8923068,Deltoplastis lamellospina,Deltoplastis,Lecithoceridae
5103345,Eucosma excerptionana,Eucosma,Tortricidae
8597494,Glyphidocera formae,Glyphidocera,Autostichidae
8829869,Bidorpitia boliviana,Bidorpitia,Tortricidae
5146797,Idaea macouma,Idaea,Geometridae
1979493,Hydriomena fractisignata,Hydriomena,Geometridae
1963350,Tricentra apicata,Tricentra,Geometridae
5117732,Paranerita niobe,Paranerita,Erebidae
1811162,Isanthrene crabrionides,Isanthrene,Erebidae
1965177,Euphyia albidaria,Euphyia,Geometridae
1738979,Transtillaspis bascanion,Transtillaspis,Tortricidae
9219754,Ptoseulia oxyropa,Ptoseulia,Tortricidae
5148897,Pero kathina,Pero,Geometridae
1979599,Psaliodes magnipalpata,Psaliodes,Geometridae
1985463,Melinoides dentilinea,Melinoides,Geometridae
1846054,Glyphidocera dimorphella,Glyphidocera,Autostichidae
9089014,Lomographa griseolineata,Lomographa,Geometridae
1983326,Eupithecia chimera,Eupithecia,Geometridae
1956945,Oenoptila costata,Oenoptila,Geometridae
1850961,Chionodes abdominella,Chionodes,Gelechiidae
1956074,Semaeopus ephippiata,Semaeopus,Geometridae
11452523,Hypomecis atilla,Hypomecis,Geometridae
1971795,Pherotesia supplanaria,Pherotesia,Geometridae
1851741,Gnorimoschema splendoriferella,Gnorimoschema,Gelechiidae
5120448,Periploca labes,Periploca,Cosmopterigidae
1961339,Dyspteris insignis,Dyspteris,Geometridae
1835104,Hastamea argentidorsella,Hastamea,Depressariidae
1963759,Phaludia janeira,Phaludia,Geometridae
1963650,Eudule ficaria,Eudule,Geometridae
1857156,Opogona allaini,Opogona,Tineidae
1827448,Euxoga balba,Euxoga,Notodontidae
1890551,Pyrausta xanthocrypta,Pyrausta,Crambidae
1975274,Heteroleuca rubescens,Heteroleuca,Geometridae
5118742,Hemiceras crassa,Hemiceras,Notodontidae
9223502,Chionodes soter,Chionodes,Gelechiidae
1963416,Trichorrhages pizarrena,Trichorrhages,Geometridae
1846104,Mompha parilis,Mompha,Momphidae
1747204,Trymalitis escharia,Trymalitis,Tortricidae
1965036,Stamnodes penguinifera,Stamnodes,Geometridae
10623368,Nephodia xanthosoma,Nephodia,Geometridae
1851727,Gnorimoschema alaricella,Gnorimoschema,Gelechiidae
1827836,Eragisa bocra,Eragisa,Notodontidae
1989729,Eois albigirisea,Eois,Geometridae
1733123,Macromphalia canescens,Macromphalia,Lasiocampidae
1965294,Euphyia rojiza,Euphyia,Geometridae
1840401,Agonopterix cratia,Agonopterix,Depressariidae
1965110,Stamnodes substrigata,Stamnodes,Geometridae
1983618,Eupithecia discordans,Eupithecia,Geometridae
11788192,Epiblema hirsutana,Epiblema,Tortricidae
1822286,Rhuda lorella,Rhuda,Notodontidae
1852687,Auximobasis floridella,Auximobasis,Blastobasidae
1979656,Psaliodes bistrigata,Psaliodes,Geometridae
9216992,Asymphorodes honoria,Asymphorodes,Cosmopterigidae
11541426,Patalene santiago,Patalene,Geometridae
1962075,Synchlora venustula,Synchlora,Geometridae
12206309,Pelochrista serapicana,Pelochrista,Tortricidae
5144654,Bassania schreiteri,Bassania,Geometridae
5118759,Hemiceras lilacina,Hemiceras,Notodontidae
11768427,Saphenista frangula,Saphenista,Tortricidae
1745639,Epinotia meritana,Epinotia,Tortricidae
1954215,Distoneura ternura,Distoneura,Geometridae
1981489,Nephodia subcolorata,Nephodia,Geometridae
1846017,Glyphidocera carribea,Glyphidocera,Autostichidae
1836539,Stenoma frondifer,Stenoma,Depressariidae
1978888,Sangala subcyanea,Sangala,Geometridae
1740496,Adoxophyes melia,Adoxophyes,Tortricidae
1933623,Calystryma gentilla,Calystryma,Lycaenidae
1848304,Anacampsis ursula,Anacampsis,Gelechiidae
